bin_start,bin_end,count,density
-30.000000,-29.700000,65,0.000021
-29.700000,-29.400000,41,0.000013
-29.400000,-29.100000,75,0.000024
-29.100000,-28.800000,59,0.000019
-28.800000,-28.500000,58,0.000019
-28.500000,-28.200000,82,0.000026
-28.200000,-27.900000,32,0.000010
-27.900000,-27.600000,57,0.000018
-27.600000,-27.300000,30,0.000010
-27.300000,-27.000000,29,0.000009
-27.000000,-26.700000,29,0.000009
-26.700000,-26.400000,9,0.000003
-26.400000,-26.100000,15,0.000005
-26.100000,-25.800000,18,0.000006
-25.800000,-25.500000,10,0.000003
-25.500000,-25.200000,22,0.000007
-25.200000,-24.900000,11,0.000004
-24.900000,-24.600000,18,0.000006
-24.600000,-24.300000,4,0.000001
-24.300000,-24.000000,8,0.000003
-24.000000,-23.700000,19,0.000006
-23.700000,-23.400000,11,0.000004
-23.400000,-23.100000,20,0.000006
-23.100000,-22.800000,20,0.000006
-22.800000,-22.500000,11,0.000004
-22.500000,-22.200000,34,0.000011
-22.200000,-21.900000,16,0.000005
-21.900000,-21.600000,23,0.000007
-21.600000,-21.300000,18,0.000006
-21.300000,-21.000000,22,0.000007
-21.000000,-20.700000,23,0.000007
-20.700000,-20.400000,14,0.000004
-20.400000,-20.100000,47,0.000015
-20.100000,-19.800000,26,0.000008
-19.800000,-19.500000,26,0.000008
-19.500000,-19.200000,44,0.000014
-19.200000,-18.900000,35,0.000011
-18.900000,-18.600000,50,0.000016
-18.600000,-18.300000,42,0.000013
-18.300000,-18.000000,44,0.000014
-18.000000,-17.700000,77,0.000025
-17.700000,-17.400000,62,0.000020
-17.400000,-17.100000,86,0.000028
-17.100000,-16.800000,76,0.000024
-16.800000,-16.500000,77,0.000025
-16.500000,-16.200000,150,0.000048
-16.200000,-15.900000,102,0.000033
-15.900000,-15.600000,160,0.000051
-15.600000,-15.300000,163,0.000052
-15.300000,-15.000000,148,0.000047
-15.000000,-14.700000,212,0.000068
-14.700000,-14.400000,220,0.000071
-14.400000,-14.100000,290,0.000093
-14.100000,-13.800000,314,0.000101
-13.800000,-13.500000,259,0.000083
-13.500000,-13.200000,456,0.000146
-13.200000,-12.900000,474,0.000152
-12.900000,-12.600000,575,0.000184
-12.600000,-12.300000,677,0.000217
-12.300000,-12.000000,624,0.000200
-12.000000,-11.700000,949,0.000304
-11.700000,-11.400000,964,0.000309
-11.400000,-11.100000,1230,0.000394
-11.100000,-10.800000,1368,0.000439
-10.800000,-10.500000,1302,0.000417
-10.500000,-10.200000,1933,0.000620
-10.200000,-9.900000,2126,0.000682
-9.900000,-9.600000,2684,0.000861
-9.600000,-9.300000,2934,0.000941
-9.300000,-9.000000,2768,0.000887
-9.000000,-8.700000,4207,0.001349
-8.700000,-8.400000,4609,0.001478
-8.400000,-8.100000,5763,0.001848
-8.100000,-7.800000,5910,0.001895
-7.800000,-7.500000,6444,0.002066
-7.500000,-7.200000,8692,0.002787
-7.200000,-6.900000,9925,0.003182
-6.900000,-6.600000,10853,0.003480
-6.600000,-6.300000,13001,0.004168
-6.300000,-6.000000,14128,0.004530
-6.000000,-5.700000,18821,0.006034
-5.700000,-5.400000,21376,0.006854
-5.400000,-5.100000,23438,0.007515
-5.100000,-4.800000,28818,0.009240
-4.800000,-4.500000,31967,0.010249
-4.500000,-4.200000,41567,0.013327
-4.200000,-3.900000,48353,0.015503
-3.900000,-3.600000,55200,0.017698
-3.600000,-3.300000,65166,0.020894
-3.300000,-3.000000,80807,0.025908
-3.000000,-2.700000,100251,0.032142
-2.700000,-2.400000,111936,0.035889
-2.400000,-2.100000,145263,0.046574
-2.100000,-1.800000,173857,0.055742
-1.800000,-1.500000,213669,0.068507
-1.500000,-1.200000,279470,0.089604
-1.200000,-0.900000,361791,0.115997
-0.900000,-0.600000,496489,0.159184
-0.600000,-0.300000,784682,0.251585
-0.300000,0.000000,7205160,2.310117
