token,token_id,count,avg_logprob,avg_entropy
",",11,582528,-0.30272640199757583,0.273674935754475
1,16,420768,-0.14849148873777768,0.08990351829404991
2,17,359414,-0.14299029002574673,0.08491822207321689
 ,220,348387,-0.3702183919147749,0.318431161265894
0,15,303999,-0.1039314443469618,0.052237718452506327
 the,279,293856,-0.7393797545989043,0.7248478470843397
.,13,288219,-0.33151320361250286,0.3927429363195247
3,18,206387,-0.15931810709621586,0.08795760499232193
 is,374,193046,-0.3821153956304705,0.40189705742944254
4,19,158777,-0.16893295571313582,0.08289157536874095
5,20,158224,-0.13855671042941653,0.0701307167353254
".

",382,139237,-0.7364744391962199,0.5598727353755851
=,28,133643,-0.19884685174475994,0.15341323055578668
 (,320,117573,-0.6937199243362767,0.4024807146781344
6,21,116837,-0.14953749217713783,0.07319921682592048
 a,264,102845,-0.7890423490990813,0.5825354265108252
 +,488,99791,-0.0988819977788727,0.06835029741247546
 -,481,97973,-0.11736944002038945,0.08113063047237501
9,24,92729,-0.12001071600888341,0.06340205749680927
8,23,89914,-0.1361515546703099,0.06818109445790983
 to,311,88592,-0.348151974729872,0.2591060555999963
7,22,86621,-0.14993256407764693,0.0725033112750028
 =,284,84945,-0.22120114178196945,0.21618124613862447
 of,315,82345,-0.312813954412977,0.28247791206297995
 and,323,78494,-0.5042183647220276,0.39540948469217035
 that,429,71844,-0.8460262981981552,0.6899384576731626
),8,71023,-0.17219487252611454,0.1592281776311676
/,14,60151,-0.09805816768603053,0.06254613590473262
's,594,58512,-0.665501209246369,0.5030752776238355
 in,304,56378,-1.2873090084736927,0.8686761786457945
 so,773,56122,-1.036856913126049,0.8028986865567876
 be,387,55283,-0.1509799899054042,0.19507264380568418
:,25,52450,-0.41618813834267643,0.31297581711586103
(,7,51393,-0.11556704954584864,0.09134342802561808
 but,714,48845,-0.8858074888649538,0.736926711239287
 So,2055,45974,-1.0150634704031545,0.9839606443503108
 are,525,43062,-0.3443749486627694,0.38864092736041744
":

",1447,42928,-1.059211173615836,0.6333105125715643
 me,752,42558,-0.1318761873521988,0.2221431271213523
",

",3554,41410,-1.4632100072496612,0.4894803679426082
²,29456,36784,-0.060765456827944805,0.04619852949450593
-,12,36107,-0.39770875546762324,0.2162045456443096
Wait,14190,35952,-1.2255178513357678,0.8222353114513576
 can,646,35193,-0.9898264299142094,0.6813805718570526
 x,856,32766,-0.40416702508984603,0.33149993154072827
Alternatively,92014,32679,-1.1897603122077383,0.8546574940248526
 maybe,7196,32436,-1.198438065437783,1.2392304375141083
x,87,32055,-0.1420420003112105,0.09594803215249229
 problem,3491,31948,-0.7060207239196733,0.7026501797596726
" 

",4710,30324,-0.5427195579422887,0.5853217294176898
 with,448,30201,-0.9313540281726368,0.6400561448405447
 I,358,29983,-1.2105793381049015,0.9087992718491524
)=,11730,29766,-0.3879672777530191,0.2201487744994418
 which,892,28836,-0.7198460421890934,0.6313089959839592
+,10,28140,-0.5000438092910574,0.21615162163437954
 if,421,27990,-0.9203561146330007,0.9451364300875122
 it,432,27638,-1.3581192000651205,0.90531641271926
 for,369,27510,-0.8795467866936063,0.7205310030923109
).,568,27384,-0.4287053650316355,0.4371513644040153
 Let,6771,27219,-1.0311097034766317,0.9665689784187733
"),",701,27134,-0.3283640295058421,0.29187931126607497
 at,518,27124,-0.7685444350659961,0.4809737640504708
^,61,26449,-0.1516008551050717,0.11780318149046777
 as,438,25656,-0.9457216973956366,0.5951148753425602
 number,1372,25632,-0.36586735158526196,0.3391785083395038
?,30,25441,-0.8391558802318547,0.7384476336165285
*,9,24767,-0.21385641043055365,0.16857222629765525
 we,582,24404,-0.9741023379141259,0.9037321075327709
 each,1817,24353,-1.2632159023947116,0.7970783598076581
 perhaps,8365,24167,-2.53079145971909,1.3948036364638505
 two,1378,24133,-0.8642538254128534,0.5542505910194768
 would,1035,23968,-1.1070356826896024,0.7930894815017834
 Wait,13824,23595,-0.9830408686878166,0.8790966221123687
 from,504,23343,-0.7248465120549813,0.5333024867240715
 then,1221,23193,-0.7081734295141773,0.6881419535828762
 by,553,22588,-0.25593175235439747,0.18512392185088958
 have,614,22192,-0.7550578334119652,0.6018365918624432
 n,308,21882,-0.546595840978836,0.4349182724112608
 not,537,20951,-0.7340186345799715,0.6007811321993146
 must,1969,20525,-1.5992706599101951,0.7590047259010084
 this,419,20397,-1.0048995445877709,0.8579812370322525
a,64,20176,-0.21125956455173237,0.1392497505843374
 b,293,19270,-0.1995035904271651,0.1760964359953187
 But,1988,18749,-0.9730806924850567,0.9795447872113442
 mod,1463,18717,-0.6970604091855638,0.36812871866162994
 let,1077,18670,-1.5721999379103364,1.32706000879806
 y,379,18119,-0.2636517865931898,0.193824991662626
 all,678,17643,-1.1144422841357218,0.6853396341843198
"

",271,17396,-0.2831193083427396,0.2854540840691004
 m,296,17188,-0.6500423916320566,0.4859048617816803
't,944,16691,-0.04978356706496875,0.046730238984771695
 or,476,16628,-0.6349359772111867,0.4323639869170948
 f,282,16479,-0.48742800735792163,0.42785941740092365
 A,362,16401,-0.39303383239339995,0.27979985054803785
 one,825,16295,-0.6900728354464283,0.5042529657012523
 The,576,15881,-1.8154730555708092,1.0710425781194042
 \,1124,15488,-0.29628923292895243,0.17032078770145023
 there,1052,15459,-0.8568989231327511,0.8079802791600798
)/,5620,15328,-0.09189978135372502,0.061204503188656216
 since,2474,15044,-1.371652734823222,1.2016031075743436
 on,389,14974,-0.6627000915728727,0.39841743988226214
√,144336,14744,-0.09297398851736693,0.05915391082204224
 c,272,14664,-0.3293835349539493,0.24612146103157423
