bin_start,bin_end,count,density
0.000000,0.100000,5013022,4.821822
0.100000,0.200000,513152,0.493580
0.200000,0.300000,397303,0.382150
0.300000,0.400000,351449,0.338044
0.400000,0.500000,338740,0.325820
0.500000,0.600000,372701,0.358486
0.600000,0.700000,504186,0.484956
0.700000,0.800000,391733,0.376792
0.800000,0.900000,331953,0.319292
0.900000,1.000000,295927,0.284640
1.000000,1.100000,292253,0.281106
1.100000,1.200000,266248,0.256093
1.200000,1.300000,235442,0.226462
1.300000,1.400000,208681,0.200722
1.400000,1.500000,167201,0.160824
1.500000,1.600000,157210,0.151214
1.600000,1.700000,132387,0.127338
1.700000,1.800000,108639,0.104495
1.800000,1.900000,86606,0.083303
1.900000,2.000000,63342,0.060926
2.000000,2.100000,54423,0.052347
2.100000,2.200000,35661,0.034301
2.200000,2.300000,29735,0.028601
2.300000,2.400000,17312,0.016652
2.400000,2.500000,11855,0.011403
2.500000,2.600000,8602,0.008274
2.600000,2.700000,4308,0.004144
2.700000,2.800000,2994,0.002880
2.800000,2.900000,1477,0.001421
2.900000,3.000000,784,0.000754
3.000000,3.100000,531,0.000511
3.100000,3.200000,263,0.000253
3.200000,3.300000,146,0.000140
3.300000,3.400000,86,0.000083
3.400000,3.500000,52,0.000050
3.500000,3.600000,34,0.000033
3.600000,3.700000,23,0.000022
3.700000,3.800000,20,0.000019
3.800000,3.900000,9,0.000009
3.900000,4.000000,9,0.000009
4.000000,4.100000,7,0.000007
4.100000,4.200000,2,0.000002
4.200000,4.300000,2,0.000002
4.300000,4.400000,5,0.000005
4.400000,4.500000,2,0.000002
4.500000,4.600000,2,0.000002
4.600000,4.700000,2,0.000002
4.700000,4.800000,3,0.000003
4.800000,4.900000,1,0.000001
4.900000,5.000000,1,0.000001
5.000000,5.100000,2,0.000002
5.100000,5.200000,2,0.000002
5.200000,5.300000,0,0.000000
5.300000,5.400000,0,0.000000
5.400000,5.500000,0,0.000000
5.500000,5.600000,0,0.000000
5.600000,5.700000,0,0.000000
5.700000,5.800000,0,0.000000
5.800000,5.900000,0,0.000000
5.900000,6.000000,0,0.000000
6.000000,6.100000,0,0.000000
6.100000,6.200000,0,0.000000
6.200000,6.300000,0,0.000000
6.300000,6.400000,0,0.000000
6.400000,6.500000,1,0.000001
6.500000,6.600000,0,0.000000
6.600000,6.700000,0,0.000000
6.700000,6.800000,0,0.000000
6.800000,6.900000,0,0.000000
6.900000,7.000000,0,0.000000
7.000000,7.100000,0,0.000000
7.100000,7.200000,0,0.000000
7.200000,7.300000,0,0.000000
7.300000,7.400000,0,0.000000
7.400000,7.500000,0,0.000000
7.500000,7.600000,0,0.000000
7.600000,7.700000,0,0.000000
7.700000,7.800000,0,0.000000
7.800000,7.900000,0,0.000000
7.900000,8.000000,0,0.000000
8.000000,8.100000,0,0.000000
8.100000,8.200000,0,0.000000
8.200000,8.300000,0,0.000000
8.300000,8.400000,0,0.000000
8.400000,8.500000,0,0.000000
8.500000,8.600000,0,0.000000
8.600000,8.700000,0,0.000000
8.700000,8.800000,0,0.000000
8.800000,8.900000,0,0.000000
8.900000,9.000000,0,0.000000
9.000000,9.100000,0,0.000000
9.100000,9.200000,0,0.000000
9.200000,9.300000,0,0.000000
9.300000,9.400000,0,0.000000
9.400000,9.500000,0,0.000000
9.500000,9.600000,0,0.000000
9.600000,9.700000,0,0.000000
9.700000,9.800000,0,0.000000
9.800000,9.900000,0,0.000000
9.900000,10.000000,0,0.000000
