bin_start,bin_end,count,density
-30.000000,-29.700000,0,0.000000
-29.700000,-29.400000,0,0.000000
-29.400000,-29.100000,0,0.000000
-29.100000,-28.800000,0,0.000000
-28.800000,-28.500000,0,0.000000
-28.500000,-28.200000,0,0.000000
-28.200000,-27.900000,0,0.000000
-27.900000,-27.600000,2,0.000001
-27.600000,-27.300000,1,0.000000
-27.300000,-27.000000,0,0.000000
-27.000000,-26.700000,2,0.000001
-26.700000,-26.400000,3,0.000001
-26.400000,-26.100000,1,0.000000
-26.100000,-25.800000,6,0.000002
-25.800000,-25.500000,3,0.000001
-25.500000,-25.200000,5,0.000002
-25.200000,-24.900000,6,0.000002
-24.900000,-24.600000,6,0.000002
-24.600000,-24.300000,3,0.000001
-24.300000,-24.000000,3,0.000001
-24.000000,-23.700000,7,0.000002
-23.700000,-23.400000,7,0.000002
-23.400000,-23.100000,2,0.000001
-23.100000,-22.800000,3,0.000001
-22.800000,-22.500000,1,0.000000
-22.500000,-22.200000,4,0.000001
-22.200000,-21.900000,1,0.000000
-21.900000,-21.600000,4,0.000001
-21.600000,-21.300000,2,0.000001
-21.300000,-21.000000,4,0.000001
-21.000000,-20.700000,9,0.000003
-20.700000,-20.400000,3,0.000001
-20.400000,-20.100000,12,0.000004
-20.100000,-19.800000,8,0.000003
-19.800000,-19.500000,8,0.000003
-19.500000,-19.200000,12,0.000004
-19.200000,-18.900000,19,0.000006
-18.900000,-18.600000,14,0.000004
-18.600000,-18.300000,17,0.000005
-18.300000,-18.000000,25,0.000008
-18.000000,-17.700000,48,0.000015
-17.700000,-17.400000,38,0.000012
-17.400000,-17.100000,70,0.000022
-17.100000,-16.800000,49,0.000016
-16.800000,-16.500000,59,0.000019
-16.500000,-16.200000,88,0.000028
-16.200000,-15.900000,72,0.000023
-15.900000,-15.600000,108,0.000035
-15.600000,-15.300000,96,0.000031
-15.300000,-15.000000,77,0.000025
-15.000000,-14.700000,99,0.000032
-14.700000,-14.400000,137,0.000044
-14.400000,-14.100000,141,0.000045
-14.100000,-13.800000,155,0.000050
-13.800000,-13.500000,135,0.000043
-13.500000,-13.200000,227,0.000073
-13.200000,-12.900000,220,0.000071
-12.900000,-12.600000,324,0.000104
-12.600000,-12.300000,353,0.000113
-12.300000,-12.000000,333,0.000107
-12.000000,-11.700000,563,0.000181
-11.700000,-11.400000,593,0.000190
-11.400000,-11.100000,751,0.000241
-11.100000,-10.800000,887,0.000284
-10.800000,-10.500000,822,0.000264
-10.500000,-10.200000,1230,0.000394
-10.200000,-9.900000,1456,0.000467
-9.900000,-9.600000,1865,0.000598
-9.600000,-9.300000,2050,0.000657
-9.300000,-9.000000,2067,0.000663
-9.000000,-8.700000,3074,0.000986
-8.700000,-8.400000,3516,0.001127
-8.400000,-8.100000,4425,0.001419
-8.100000,-7.800000,4805,0.001541
-7.800000,-7.500000,5487,0.001759
-7.500000,-7.200000,7338,0.002353
-7.200000,-6.900000,8516,0.002730
-6.900000,-6.600000,9777,0.003135
-6.600000,-6.300000,11762,0.003771
-6.300000,-6.000000,13226,0.004241
-6.000000,-5.700000,17188,0.005511
-5.700000,-5.400000,20428,0.006550
-5.400000,-5.100000,22241,0.007131
-5.100000,-4.800000,28259,0.009060
-4.800000,-4.500000,31152,0.009988
-4.500000,-4.200000,40917,0.013119
-4.200000,-3.900000,47939,0.015370
-3.900000,-3.600000,56248,0.018034
-3.600000,-3.300000,67466,0.021631
-3.300000,-3.000000,81910,0.026262
-3.000000,-2.700000,105476,0.033818
-2.700000,-2.400000,118853,0.038107
-2.400000,-2.100000,151728,0.048647
-2.100000,-1.800000,189603,0.060790
-1.800000,-1.500000,227429,0.072918
-1.500000,-1.200000,304805,0.097727
-1.200000,-0.900000,390352,0.125155
-0.900000,-0.600000,537871,0.172452
-0.600000,-0.300000,825092,0.264541
-0.300000,0.000000,7044332,2.258552
