token,token_id,count,avg_logprob,avg_entropy
",",11,582528,-0.27380388536392475,0.28866623349066267
1,16,420768,-0.1318305424427395,0.09312496845034236
2,17,359414,-0.1270391404095749,0.0898247495601102
 ,220,348387,-0.3503935496879441,0.34238238367400636
0,15,303999,-0.091603488787522,0.05561309330247216
 the,279,293856,-0.6239606279571092,0.7386021131667618
.,13,288219,-0.4143673625251007,0.467665986984545
3,18,206387,-0.13068352011151646,0.09160760773448422
 is,374,193046,-0.4085362875421934,0.4509635756810388
4,19,158777,-0.14058963588782425,0.0886996306275649
5,20,158224,-0.12203461908286956,0.07657731960644712
".

",382,139237,-0.5851650653377936,0.5563718477885286
=,28,133643,-0.19784261375960246,0.15309006896010563
 (,320,117573,-0.6573614731484111,0.4298999179222186
6,21,116837,-0.12291282005482776,0.07891358731575782
 a,264,102845,-0.6975114772881849,0.6175630533042554
 +,488,99791,-0.10312538467911095,0.08996099366761824
 -,481,97973,-0.12892329062439006,0.10661243681478202
9,24,92729,-0.09467182424739028,0.0649898205891414
8,23,89914,-0.11898954115317624,0.07571648266964395
 to,311,88592,-0.31316960077946077,0.2773696110667716
7,22,86621,-0.1325053525429839,0.08101420097028642
 =,284,84945,-0.15054459024523964,0.18628993804863297
 of,315,82345,-0.27123692694080354,0.3007771915257232
 and,323,78494,-0.44010446700490435,0.41226857184284565
 that,429,71844,-0.9248800609980717,0.7868825567283803
),8,71023,-0.1624695178501447,0.15888004665247654
/,14,60151,-0.07466092570416916,0.05933207609695052
's,594,58512,-0.5888558997889017,0.515571931343437
 in,304,56378,-1.2167096435907416,0.9478881105411248
 so,773,56122,-1.2577722498336643,0.913286054034881
 be,387,55283,-0.1749506134559317,0.24783599143055302
:,25,52450,-0.3810319663616904,0.33258085798037446
(,7,51393,-0.11801537544360417,0.10598876348078966
 but,714,48845,-1.0446725757842739,0.8971388331213362
 So,2055,45974,-0.8858334487947067,1.0629244885926104
 are,525,43062,-0.3148391587271028,0.4125348953707254
":

",1447,42928,-1.0286751644650458,0.7006549384908184
 me,752,42558,-0.19368470281781297,0.2929426058646837
",

",3554,41410,-1.3479974511106703,0.5233376626662084
²,29456,36784,-0.07630089297728623,0.06567654094781543
-,12,36107,-0.28577029267591414,0.1959312734924398
Wait,14190,35952,-1.5849511420721472,1.1228436626324825
 can,646,35193,-1.047425445112579,0.772467482724213
 x,856,32766,-0.3459571380504051,0.34588406813644856
Alternatively,92014,32679,-1.9190317981154636,1.2700580828170662
 maybe,7196,32436,-1.8084822377289453,1.51291017794612
x,87,32055,-0.1499969064231745,0.10173834016815653
 problem,3491,31948,-0.8692648004527324,0.9219472869947092
" 

",4710,30324,-0.4666133134900667,0.5755526015515096
 with,448,30201,-0.94443658835714,0.7171931742622322
 I,358,29983,-1.2290661539153713,0.9807565402640815
)=,11730,29766,-0.4582884159490545,0.23644099471251956
 which,892,28836,-0.8255110256242626,0.712074575692008
+,10,28140,-0.37938594583424595,0.20429891962541794
 if,421,27990,-1.0400057629416268,1.0924676682241727
 it,432,27638,-1.1289340566817598,0.896828575711256
 for,369,27510,-0.8587078662405704,0.7876836270901842
).,568,27384,-0.5820570727459283,0.5512624569945995
 Let,6771,27219,-1.0386371360413231,1.1215827351170435
"),",701,27134,-0.2463422705141825,0.271962873043372
 at,518,27124,-0.6280207004436014,0.503466546998372
^,61,26449,-0.14001428982256817,0.12758177322727782
 as,438,25656,-0.9477398625723402,0.6562880949734222
 number,1372,25632,-0.3513075043441502,0.3898286870803747
?,30,25441,-1.5432250486792767,0.9431674461390799
*,9,24767,-0.22122795486900715,0.18856111867709613
 we,582,24404,-1.0906009490451662,1.013349584834563
 each,1817,24353,-1.1642494070325813,0.8683559693009956
 perhaps,8365,24167,-2.785696678968221,1.6279728240278581
 two,1378,24133,-0.8719823578134799,0.6329604506665543
 would,1035,23968,-1.2955214818852527,0.892504354173228
 Wait,13824,23595,-1.545319827225886,1.1754827655809212
 from,504,23343,-0.6641040230371373,0.58588661594646
 then,1221,23193,-0.8070356932668324,0.7717416826869303
 by,553,22588,-0.25175888259283774,0.21699016113381825
 have,614,22192,-0.9242960069900635,0.7419534650031473
 n,308,21882,-0.5249367992660701,0.47287057067384347
 not,537,20951,-0.7085595399028936,0.670972042764712
 must,1969,20525,-1.3596430397730652,0.7883796546551944
 this,419,20397,-0.7557074654749306,0.8348538172588131
a,64,20176,-0.23209232543901637,0.15064133270034435
 b,293,19270,-0.18360776286949193,0.18985049892408287
 But,1988,18749,-1.0078036999904643,1.126356122131201
 mod,1463,18717,-0.6086155413027253,0.3995336833225866
 let,1077,18670,-1.668404069269923,1.576053465453456
 y,379,18119,-0.253791966543035,0.21705488797951983
 all,678,17643,-0.9773387767178993,0.7410622005660148
"

",271,17396,-0.24050137985846343,0.2769326234994866
 m,296,17188,-0.6717646236000212,0.5311456108975937
't,944,16691,-0.04758851622872367,0.060863247230741845
 or,476,16628,-0.7051187820064067,0.5194893061504439
 f,282,16479,-0.44452879966929365,0.4449840890184163
 A,362,16401,-0.38648252656245974,0.32670280936190815
 one,825,16295,-0.6240739131054288,0.540911402314113
 The,576,15881,-1.578201859981135,1.175381936675246
 \,1124,15488,-0.2999497875494282,0.2333440026875418
 there,1052,15459,-1.062534185582958,0.9410776083968333
)/,5620,15328,-0.1131931409270878,0.0824250930032303
 since,2474,15044,-1.4920065120254797,1.3739064507457812
 on,389,14974,-0.6461117924716614,0.45263980231886597
√,144336,14744,-0.0921379259776888,0.06896170655828786
 c,272,14664,-0.3227579125324625,0.27630125350812806
Therefore,54815,14630,-1.4677789632050207,1.251563651449291
 k,595,14610,-0.3551559945396329,0.36220884106482437
°,11616,14358,-0.06073770090171696,0.06830469308184779
k,74,13610,-0.19689817279686742,0.1293135402759989
 see,1490,13592,-2.367002617197222,1.3047872932245181
 B,425,13042,-0.21761257132765816,0.19506070484403995
},92,13028,-0.22579482269133386,0.1595921401802801
 numbers,5109,12987,-0.6298827710746112,0.5776708907811416
 need,1184,12898,-0.8132602263650408,0.7929156861770688
 no,902,12859,-0.8515396884370438,0.7938386486686136
 between,1948,12653,-0.9669501761301774,0.6633192608601821
 where,1380,12562,-1.164070898172032,0.8349415831305792
 has,702,12515,-0.8159844224280565,0.6305741557189871
 total,2790,12515,-0.9117040247713334,0.8068300306943698
n,77,12492,-0.16063692320282552,0.12681152616971134
 sum,2629,12476,-0.49167595164024436,0.4930604557333934
 C,356,12441,-0.27362868228379134,0.2510728187568212
 think,1744,12378,-1.0648231886761854,1.2298896972611872
 angle,9210,12194,-0.7005160032519947,0.5925965955133731
 an,458,12157,-1.5497121542724053,0.8581607883482463
