bin_start,bin_end,count,density
0.000000,0.100000,5013244,4.822035
0.100000,0.200000,513075,0.493506
0.200000,0.300000,397055,0.381911
0.300000,0.400000,351554,0.338145
0.400000,0.500000,338808,0.325886
0.500000,0.600000,372920,0.358697
0.600000,0.700000,503968,0.484746
0.700000,0.800000,392061,0.377108
0.800000,0.900000,331537,0.318892
0.900000,1.000000,296021,0.284731
1.000000,1.100000,292298,0.281150
1.100000,1.200000,266538,0.256372
1.200000,1.300000,235053,0.226088
1.300000,1.400000,208791,0.200828
1.400000,1.500000,167466,0.161079
1.500000,1.600000,157033,0.151044
1.600000,1.700000,132119,0.127080
1.700000,1.800000,108536,0.104396
1.800000,1.900000,87052,0.083732
1.900000,2.000000,63079,0.060673
2.000000,2.100000,54435,0.052359
2.100000,2.200000,35621,0.034262
2.200000,2.300000,29730,0.028596
2.300000,2.400000,17389,0.016726
2.400000,2.500000,11766,0.011317
2.500000,2.600000,8597,0.008269
2.600000,2.700000,4331,0.004166
2.700000,2.800000,2987,0.002873
2.800000,2.900000,1496,0.001439
2.900000,3.000000,764,0.000735
3.000000,3.100000,533,0.000513
3.100000,3.200000,261,0.000251
3.200000,3.300000,157,0.000151
3.300000,3.400000,78,0.000075
3.400000,3.500000,50,0.000048
3.500000,3.600000,35,0.000034
3.600000,3.700000,28,0.000027
3.700000,3.800000,18,0.000017
3.800000,3.900000,5,0.000005
3.900000,4.000000,7,0.000007
4.000000,4.100000,11,0.000011
4.100000,4.200000,1,0.000001
4.200000,4.300000,1,0.000001
4.300000,4.400000,4,0.000004
4.400000,4.500000,4,0.000004
4.500000,4.600000,3,0.000003
4.600000,4.700000,2,0.000002
4.700000,4.800000,2,0.000002
4.800000,4.900000,1,0.000001
4.900000,5.000000,2,0.000002
5.000000,5.100000,1,0.000001
5.100000,5.200000,1,0.000001
5.200000,5.300000,1,0.000001
5.300000,5.400000,0,0.000000
5.400000,5.500000,0,0.000000
5.500000,5.600000,0,0.000000
5.600000,5.700000,0,0.000000
5.700000,5.800000,0,0.000000
5.800000,5.900000,0,0.000000
5.900000,6.000000,0,0.000000
6.000000,6.100000,0,0.000000
6.100000,6.200000,0,0.000000
6.200000,6.300000,0,0.000000
6.300000,6.400000,1,0.000001
6.400000,6.500000,0,0.000000
6.500000,6.600000,0,0.000000
6.600000,6.700000,0,0.000000
6.700000,6.800000,0,0.000000
6.800000,6.900000,0,0.000000
6.900000,7.000000,0,0.000000
7.000000,7.100000,0,0.000000
7.100000,7.200000,0,0.000000
7.200000,7.300000,0,0.000000
7.300000,7.400000,0,0.000000
7.400000,7.500000,0,0.000000
7.500000,7.600000,0,0.000000
7.600000,7.700000,0,0.000000
7.700000,7.800000,0,0.000000
7.800000,7.900000,0,0.000000
7.900000,8.000000,0,0.000000
8.000000,8.100000,0,0.000000
8.100000,8.200000,0,0.000000
8.200000,8.300000,0,0.000000
8.300000,8.400000,0,0.000000
8.400000,8.500000,0,0.000000
8.500000,8.600000,0,0.000000
8.600000,8.700000,0,0.000000
8.700000,8.800000,0,0.000000
8.800000,8.900000,0,0.000000
8.900000,9.000000,0,0.000000
9.000000,9.100000,0,0.000000
9.100000,9.200000,0,0.000000
9.200000,9.300000,0,0.000000
9.300000,9.400000,0,0.000000
9.400000,9.500000,0,0.000000
9.500000,9.600000,0,0.000000
9.600000,9.700000,0,0.000000
9.700000,9.800000,0,0.000000
9.800000,9.900000,0,0.000000
9.900000,10.000000,0,0.000000
