token,token_id,count,avg_logprob,avg_entropy
",",11,582528,-0.27380991266261506,0.2886535758149513
1,16,420768,-0.13183608413659417,0.09311853150796251
2,17,359414,-0.1269661021477913,0.08982300415116472
 ,220,348387,-0.3503375643684851,0.34239409203352905
0,15,303999,-0.09160365949225695,0.05561152523544528
 the,279,293856,-0.6238914666396983,0.7385007921305795
.,13,288219,-0.4143749868703222,0.46764764175189705
3,18,206387,-0.13063816565107658,0.09160920058337907
 is,374,193046,-0.4084213761351467,0.45089130731603855
4,19,158777,-0.14056935176616797,0.08870329116627165
5,20,158224,-0.12203552082161388,0.07657886362828778
".

",382,139237,-0.5851284861663095,0.5563276785637534
=,28,133643,-0.19780400590317235,0.15301874025309523
 (,320,117573,-0.6573420690277325,0.429904226902444
6,21,116837,-0.12278641925880887,0.07892956361692835
 a,264,102845,-0.6973769064956625,0.6175896599227946
 +,488,99791,-0.10314004744203371,0.08995894271539907
 -,481,97973,-0.12904857577925993,0.10661306667117595
9,24,92729,-0.09462275424100944,0.06496863982183058
8,23,89914,-0.11902869289306425,0.07571168332485476
 to,311,88592,-0.3131437057032791,0.27738278818187717
7,22,86621,-0.13257512662465262,0.0810251707035357
 =,284,84945,-0.15058989237010062,0.18627655156061623
 of,315,82345,-0.271411936628673,0.30078827096940886
 and,323,78494,-0.44009073131065674,0.41219632771791986
 that,429,71844,-0.9250033752758687,0.7868213808968141
),8,71023,-0.16243744679150438,0.1588618193938557
/,14,60151,-0.07468901843521748,0.05932928011115337
's,594,58512,-0.5890300171416674,0.5154690290868476
 in,304,56378,-1.216373975869251,0.9479680564843186
 so,773,56122,-1.257837508595307,0.9131302552379423
 be,387,55283,-0.17489736949134088,0.24782750594701788
:,25,52450,-0.38113617447470344,0.33259134811161273
(,7,51393,-0.11805775534229168,0.10594656730563635
 but,714,48845,-1.0443488332214612,0.8970227523312645
 So,2055,45974,-0.8856597792206652,1.062756491105678
 are,525,43062,-0.3149231198101877,0.41255402804870667
":

",1447,42928,-1.028971651772421,0.7007116079406811
 me,752,42558,-0.19364800696993933,0.292875454306445
",

",3554,41410,-1.3481755541678473,0.5232655792903048
²,29456,36784,-0.07623184595472557,0.06572591081426726
-,12,36107,-0.2854781132461219,0.19581340921688173
Wait,14190,35952,-1.5850564347912484,1.1228318829827166
 can,646,35193,-1.0479125904074256,0.7724756776827497
 x,856,32766,-0.3459220316349962,0.3461420541433612
Alternatively,92014,32679,-1.919593735859507,1.2701230364456628
 maybe,7196,32436,-1.8089355623873495,1.5129269802080805
x,87,32055,-0.15008551403171205,0.1017462203284039
 problem,3491,31948,-0.8691118252326628,0.9218774443897845
" 

",4710,30324,-0.4666480851305489,0.575652889371736
 with,448,30201,-0.9439354745375669,0.7172609304588068
 I,358,29983,-1.228995347545443,0.9808083796698873
)=,11730,29766,-0.4585706079622146,0.236477122707054
 which,892,28836,-0.8258312870690852,0.7118872909552292
+,10,28140,-0.3793898659220128,0.20427115114772137
 if,421,27990,-1.039918515511009,1.0926470814069793
 it,432,27638,-1.129105980169912,0.8967059189984368
 for,369,27510,-0.8585098273794853,0.7875939750326719
).,568,27384,-0.5819052378406241,0.5511644224191682
